x-axis,1,2,3
second,Volt,Volt,Volt
-23.000E-03,+725.000E-03,+1.343750E+00,+1.099500E+00
-22.900E-03,+537.500E-03,+937.500E-03,+693.250E-03
-22.800E-03,+506.250E-03,+593.750E-03,+412.000E-03
-22.700E-03,+537.500E-03,+312.500E-03,+255.750E-03
-22.600E-03,+693.750E-03,+218.750E-03,+162.000E-03
-22.500E-03,+943.750E-03,+187.500E-03,+318.250E-03
-22.400E-03,+1.225000E+00,+375.000E-03,+599.500E-03
-22.300E-03,+1.537500E+00,+656.250E-03,+943.250E-03
-22.200E-03,+1.850000E+00,+1.062500E+00,+1.380750E+00
-22.100E-03,+2.100000E+00,+1.500000E+00,+1.787000E+00
-22.000E-03,+2.256250E+00,+1.937500E+00,+2.193250E+00
-21.900E-03,+2.318750E+00,+2.312500E+00,+2.505750E+00
-21.800E-03,+2.287500E+00,+2.531250E+00,+2.724500E+00
-21.700E-03,+2.100000E+00,+2.718750E+00,+2.755750E+00
-21.600E-03,+1.881250E+00,+2.656250E+00,+2.662000E+00
-21.500E-03,+1.537500E+00,+2.468750E+00,+2.349500E+00
-21.400E-03,+1.256250E+00,+2.156250E+00,+1.974500E+00
-21.300E-03,+912.500E-03,+1.781250E+00,+1.474500E+00
-21.200E-03,+693.750E-03,+1.343750E+00,+1.068250E+00
-21.100E-03,+537.500E-03,+875.000E-03,+630.750E-03
-21.000E-03,+475.000E-03,+500.000E-03,+349.500E-03
-20.900E-03,+631.250E-03,+281.250E-03,+193.250E-03
-20.800E-03,+725.000E-03,+187.500E-03,+224.500E-03
-20.700E-03,+1.037500E+00,+250.000E-03,+349.500E-03
-20.600E-03,+1.381250E+00,+437.500E-03,+693.250E-03
-20.500E-03,+1.693750E+00,+781.250E-03,+1.130750E+00
-20.400E-03,+2.006250E+00,+1.250000E+00,+1.568250E+00
-20.300E-03,+2.225000E+00,+1.718750E+00,+2.037000E+00
-20.200E-03,+2.318750E+00,+2.125000E+00,+2.380750E+00
-20.100E-03,+2.318750E+00,+2.468750E+00,+2.724500E+00
-20.000E-03,+2.100000E+00,+2.687500E+00,+2.755750E+00
-19.900E-03,+1.912500E+00,+2.687500E+00,+2.662000E+00
-19.800E-03,+1.537500E+00,+2.562500E+00,+2.443250E+00
-19.700E-03,+1.193750E+00,+2.250000E+00,+2.037000E+00
-19.600E-03,+912.500E-03,+1.843750E+00,+1.568250E+00
-19.500E-03,+662.500E-03,+1.375000E+00,+1.099500E+00
-19.400E-03,+537.500E-03,+906.250E-03,+630.750E-03
-19.300E-03,+506.250E-03,+500.000E-03,+349.500E-03
-19.200E-03,+600.000E-03,+218.750E-03,+130.750E-03
-19.100E-03,+818.750E-03,+187.500E-03,+162.000E-03
-19.000E-03,+1.162500E+00,+218.750E-03,+412.000E-03
-18.900E-03,+1.537500E+00,+468.750E-03,+755.750E-03
-18.800E-03,+1.850000E+00,+875.000E-03,+1.193250E+00
-18.700E-03,+2.131250E+00,+1.375000E+00,+1.693250E+00
-18.600E-03,+2.287500E+00,+1.843750E+00,+2.193250E+00
-18.500E-03,+2.287500E+00,+2.250000E+00,+2.537000E+00
-18.400E-03,+2.256250E+00,+2.593750E+00,+2.755750E+00
-18.300E-03,+2.006250E+00,+2.750000E+00,+2.787000E+00
-18.200E-03,+1.725000E+00,+2.687500E+00,+2.599500E+00
-18.100E-03,+1.318750E+00,+2.437500E+00,+2.255750E+00
-18.000E-03,+1.006250E+00,+2.031250E+00,+1.755750E+00
-17.900E-03,+693.750E-03,+1.625000E+00,+1.255750E+00
-17.800E-03,+537.500E-03,+1.062500E+00,+755.750E-03
-17.700E-03,+506.250E-03,+625.000E-03,+412.000E-03
-17.600E-03,+600.000E-03,+281.250E-03,+193.250E-03
-17.500E-03,+818.750E-03,+156.250E-03,+193.250E-03
-17.400E-03,+1.193750E+00,+187.500E-03,+318.250E-03
-17.300E-03,+1.537500E+00,+437.500E-03,+662.000E-03
-17.200E-03,+1.881250E+00,+843.750E-03,+1.162000E+00
-17.100E-03,+2.162500E+00,+1.312500E+00,+1.724500E+00
-17.000E-03,+2.350000E+00,+1.843750E+00,+2.162000E+00
-16.900E-03,+2.318750E+00,+2.281250E+00,+2.599500E+00
-16.800E-03,+2.225000E+00,+2.562500E+00,+2.755750E+00
-16.700E-03,+1.943750E+00,+2.718750E+00,+2.787000E+00
